Product Code,Product Label,"UAE export to india Value in 2022, USD thousands","nnual growth in value uae export to india between 2018-2022, %, p.a","Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,Quantity exported from uae to india in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"india import from world Value in 2022, USD thousand ","Annual growth in value of india import from world between 2018-2022, %, p.a. ","Share in world imports, % ",Quantity exported from india to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE texport to world Value in 2022, USD thousand ","Annual growthof uae export to world in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
30342,"Frozen yellowfin tunas ""Thunnus albacares""", , , ,30, , , ,44,447,-8,0,211,Tons,"2,118",90,33,0,1,Tons,"22,000",
30343,"Frozen skipjack or stripe-bellied bonito ""Euthynnus -Katsuwonus- pelamis""", , , ,30, , , ,44,52, ,0,30,Tons,"1,733",13, ,0,313,Tons,"1,300",
30344,"Frozen bigeye tunas ""Thunnus obesus""", , ,0, , , , ,,4, ,0,0, , , , , , , , ,
30345,"Frozen Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)", , ,0,30, , , ,44,16, ,0,0, , , , , ,23, ,"8,435",
30349,"Frozen tunas of the genus ""Thunnus"" (excl. Thunnus alalunga, Thunnus albacares, Thunnus obesus, . . .", , , ,30, , , ,44,178, ,0,96,Tons,"1,854",42,-40,0,446,Tons,"2,726",
30351,"Frozen herrings ""Clupea harengus, Clupea pallasii""", , , ,30, , , ,44,7, ,0,7, ,"1,000",51,-47,0,47, ,"1,255",
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling . . .", , , ,30, , , ,44,654,34,0,"1,032",Tons,634,497,43,0,485,Tons,"1,767",-
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , , ,30, , , ,44,0, ,0, ,Tons, ,186,18,0,748,Tons,"2,040",-
30355,"Frozen jack and horse mackerel ""Trachurus spp.""", , , ,30, , , ,44,0, ,0, ,Tons, ,588,132,0,157,Tons,"1,510",
30356,"Frozen cobia ""Rachycentron canadum""", , ,0, , , , ,,14, ,5,16,Tons,875, , , , ,Tons, ,
30357,"Frozen swordfish ""Xiphias gladius""", , ,0, , , , ,,170, ,0,33,Tons,"5,152", , , , ,Tons, ,
