Product Code,Product Label,"UAE export to mexico Value in 2022, USD thousands","Mexico Share in United Arab Emirates's exports, %",Equivalent ad valorem tariff faced by United Arab Emirates,UAE to mexico Quantity exported in 2022 ,Quantity unit ,Unit value (USD/unit) ,Number of non-tariff requirements faced by United Arab Emirates ,"mexico import from world Value in 2022, USD thousand ","Annual growthmexico import from world in value between 2018-2022, %, p.a. ","Share in world imports mexico to world, % ",Quantity exported from mexico to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"UAE Export to world Value in 2022, USD thousand ","Annual growth in value between 2018-2022, %, p.a. ","Share in world exports, % ",Quantity exported from uae to world in 2022 ,Quantity unit ,Unit value (USD/unit) ,"Estimation of untapped potential trade, USD thousand"
30353,"Frozen sardines ""Sardina pilchardus, Sardinops spp."", sardinella ""Sardinella spp."", brisling . . .", , ,15, , , ,19,22,-45,0,9,Tons,"2,444",497,43,0,485,Tons,"1,767",-
30354,"Frozen mackerel ""Scomber scombrus, Scomber australasicus, Scomber japonicus""", , ,15, , , ,19,0, ,0, ,Tons, ,186,18,0,748,Tons,"2,040",-
30355,"Frozen jack and horse mackerel ""Trachurus spp.""", , , , , , ,,0, ,0, , , ,588,132,0,157, ,"1,510",
30359,"Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus . . .", , , , , , ,38,269,-52,0,141,Tons,"1,908","1,601",198,0,"1,144",Tons,"3,847",
30363,"Frozen cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , , , , ,,0, ,0, , , ,2,-42,0,263, ,"4,871",
30364,"Frozen haddock ""Melanogrammus aeglefinus""", , , , , , ,,0, ,0, , , ,29, ,0, , , ,
30365,"Frozen coalfish ""Pollachius virens""", , , , , , ,,0, ,0, , , ,10, ,0, , , ,
30366,"Frozen hake ""Merluccius spp., Urophycis spp.""", , ,10, , , ,19,0, ,0, ,Tons, ,14, ,0,144,Tons,"1,250",
30368,"Frozen blue whiting ""Micromesistius poutassou, Micromesistius australis""", , , , , , ,,0, ,0, , , ,125,3,0,472, ,888,
30369,"Frozen fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, . . .", , ,15, , , ,19,0, ,0, ,Tons, ,223,11,0,98,Tons,"1,184",
30381,Frozen dogfish and other sharks, , ,15, , , ,19,303,-15,0,120, ,"2,525",41, ,0, , , ,
30382,"Frozen rays and skates ""Rajidae""", , , , , , ,,0, ,0, , , ,126,484,0,15, ,"2,200",
30383,"Frozen toothfish ""Dissostichus spp.""", , , , , , ,,0, ,0, , , ,7, ,0,83, ,"11,217",
30384,"Frozen sea bass ""Dicentrarchus spp.""", , , , , , ,,0, ,0, , , ,152,17,0,40, ,"13,200",-
30389,"Frozen fish, n.e.s.", , ,15, , , ,38,0, ,0, ,Tons, ,"5,400",2,0,"19,234",Tons,"1,525",
30399,"Frozen fish fins, heads, tails, maws and other edible fish offal (excl. livers, roes, milt . . .", , , , , , ,,0, ,0, , , ,79,-24,0,1, ,"29,000",
30431,"Fresh or chilled fillets of tilapia ""Oreochromis spp.""", , , , , , ,,0, ,0, , , ,33,78,0,41, ,"7,390",
30432,"Fresh or chilled fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus . . .", , , , , , ,,0, ,0, , , ,1,4,0,2, ,"5,000",
30433,"Fresh or chilled fillets of Nile perch ""Lates niloticus""", , , , , , ,,0, ,0, , , ,22,-8,0,55, ,"5,327",
30439,"Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, . . .", , , , , , ,,0, ,0, , , ,30,156,0,1, ,"5,000",
30441,"Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .", , ,15, , , ,19,"14,263",163,0,909, ,"15,691",5,-44,0,170, ,"12,747",
30442,"Fresh or chilled fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, . . .", , , , , , ,,0, ,0, , , ,66, ,0,11, ,"10,182",
30445,"Fresh or chilled fillets of swordfish ""Xiphias gladius""", , , , , , ,,0, ,0, , , ,3,195,0, , , ,
30446,"Fresh or chilled fillets of toothfish ""Dissostichus spp.""", , , , , , ,,0, ,0, , , ,22,85,0, , , ,
30447,Fresh or chilled fillets of dogfish and other sharks, , , , , , ,,0, ,0, , , ,4,215,0, , , ,
30449,"Fresh or chilled fillets of fish, n.e.s.", , ,15, , , ,19,0, ,0, ,Tons, ,238,-8,0,76,Tons,"26,118",
30452,"Fresh or chilled meat, whether or not minced, of salmonidae (excl. fillets)", , , , , , ,,0, ,0, , , ,19, ,0,1, ,"12,000",
30454,"Fresh or chilled meat, whether or not minced, of swordfish ""Xiphias gladius"" (excl. fillets)", , , , , , ,,0, ,0, , , ,2, ,0, , , ,
30459,"Fresh or chilled fish meat, whether or not minced (excl. all fillets, tilapias, catfish, carp, . . .", , ,15, , , ,19,0, ,0, ,Tons, ,17,-2,0,1,Tons,"56,000",
30461,"Frozen fillets of tilapia ""Oreochromis spp.""", , ,15, , , ,20,"132,443",214,13,"46,527", ,"2,847",13,71,0,15, ,"2,467",
30462,"Frozen fillets of catfish ""Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.""", , ,15, , , ,20,"83,162",-9,4,"28,854", ,"2,882",851,43,0,71, ,"1,141",
30463,"Frozen fillets of Nile perch ""Lates niloticus""", , , , , , ,,0, ,0, , , ,140,10,0,640, ,"6,164",
30471,"Frozen fillets of cod ""Gadus morhua, Gadus ogac, Gadus macrocephalus""", , , , , , ,,0, ,0, , , ,"1,079",68,0,66, ,"10,121",
30472,"Frozen fillets of haddock ""Melanogrammus aeglefinus""", , , , , , ,,0, ,0, , , ,2, ,0,1, ,"11,000",
30473,"Frozen fillets of coalfish ""Pollachius virens""", , , , , , ,,0, ,0, , , ,7, ,0,0, , ,
30474,"Frozen fillets of hake ""Merluccius spp., Urophycis spp.""", , , , , , ,,0, ,0, , , ,7, ,0,3, ,"4,333",
30475,"Frozen fillets of Alaska pollack ""Theragra chalcogramma""", , , , , , ,,0, ,0, , , ,1, ,0,96, ,"3,219",
30479,"Frozen fillets of fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, . . .", , , , , , ,,0, ,0, , , ,111,366,0,5, ,"5,400",
30481,"Frozen fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus . . .", , ,15, , , ,19,"152,134",11,3,"11,775", ,"12,920",474,7,0,499, ,"13,116",
30482,"Frozen fillets of trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus . . .", , , , , , ,,0, ,0, , , ,16,25,0,5, ,"8,800",
30483,"Frozen fillets of flat fish ""Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae . . .", , ,15, , , ,19,0, ,0, ,Tons, ,65,293,0,59,Tons,"7,780",
30484,"Frozen fillets of swordfish ""Xiphias gladius""", , , , , , ,,0, ,0, , , ,5, ,0, , , ,
30485,"Frozen fillets of toothfish ""Dissostichus spp.""", ,0,15, , , ,19,296,-62,0,9, ,"32,889", , , ,51, ,"37,118",
30487,"Frozen fillets of tuna ""of the genus Thunnus"", skipjack or stripe-bellied bonito ""Euthynnus . . .", , ,15, , , ,19,"4,080",-19,0,679, ,"6,009",97,15,0,160, ,"13,656",
30489,"Frozen fish fillets, n.e.s.", , ,15, , , ,19,"1,703",-35,0,206,Tons,"8,267","1,597",12,0,441,Tons,"8,422",
30493,"Frozen meat, whether or not minced, of tilapia ""Oreochromis spp."", catfish ""Pangasius spp., . . .", ,0,15, , , ,19,"1,554",-7,4,636, ,"2,443", , , ,0, , ,
30499,Frozen fish meat n.e.s. (excl. fillets), , ,15, , , ,17,"1,724",-33,0,223,Tons,"7,731",774,-22,0,338,Tons,"2,769",
30510,"Flours, meals and pellets of fish, fit for human consumption", , , , , , ,,0, ,0, , , ,31,45,0,8, ,"2,750",
30539,"Fish fillets, dried, salted or in brine, but not smoked (excl. tilapia, catfish, carp, eels, . . .", , , , , , ,,0, ,0, , , ,39,0,0,2, ,"12,500",
30541,"Smoked Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus . . .", , ,15, , , ,20,762,-32,0,31, ,"24,581",260,11,0,54, ,"20,759",
30543,"Smoked trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, . . .", , , , , , ,,0, ,0, , , ,3,29,0,2, ,"15,500",
30549,"Smoked fish, incl. fillets (excl. offal, Pacific salmon, Atlantic salmon, Danube salmon, herring, . . .", , ,15, , , ,40,19,-30,0,1,Tons,"19,000",243,-14,0,12,Tons,"10,833",
